"","lambda.1se"
"ENSG00000085063",-13.5734161538005
"ENSG00000048828",-8.91209703866573
"ENSG00000198722",-8.82065615316004
"ENSG00000163513",-8.02284862747686
"ENSG00000138709",-7.16092731466064
"ENSG00000144895",-6.29109395398436
"ENSG00000118564",-5.64880753636504
"ENSG00000131620",4.89147682948598
"ENSG00000164024",-4.78797983744003
"ENSG00000173402",-3.68310388037557
"ENSG00000116906",-3.3365676381289
"ENSG00000145861",3.12315673585257
"ENSG00000187566",1.86717711177065
"ENSG00000143793",1.72245680816243
"ENSG00000198689",-1.68008881926648
"ENSG00000136436",-1.65521094482034
"ENSG00000109466",-1.62065249951636
"ENSG00000134470",-1.57972088664129
"ENSG00000126602",1.4023956563044
"ENSG00000114054",1.32599399638977
"ENSG00000153558",1.18778644482183
"ENSG00000166033",1.09543043681272
"ENSG00000105792",0.896330216554055
"ENSG00000070718",0.858397181556315
"ENSG00000072840",0.82068731040113
"ENSG00000179715",0.698595691183599
"ENSG00000144524",0.568117629276794
"ENSG00000182287",-0.498201916455275
"ENSG00000102977",0.433213112083271
"ENSG00000137106",0.43214797259514
"ENSG00000073282",0.428800008196813
"ENSG00000182132",0.369472933768936
"ENSG00000255458",0.262408834118985
"ENSG00000205593",0.236724155251579
"ENSG00000025156",-0.220754156001163
"ENSG00000156535",-0.203845887229411
"ENSG00000162881",0.162327296501252
"ENSG00000159871",-0.0813806704340695
"ENSG00000182197",0.0162723025768205
